order_id,return_date,return_reason,refund_amount
ORD000014,2023-03-16,Changed Mind,8993.86
ORD000016,2025-06-19,Size Issue,48165.27
ORD000021,2023-07-01,Product Damaged,47141.48
ORD000023,2023-09-03,Size Issue,22368.28
ORD000030,2023-12-10,Better Price Found Elsewhere,11317.12
ORD000040,2024-03-04,Size Issue,18263.18
ORD000041,2023-12-10,Size Issue,10606.83
ORD000043,2025-08-04,Wrong Item Delivered,96998.16
ORD000046,2024-12-31,Size Issue,41224.22
ORD000061,2024-05-07,Size Issue,17838.99
ORD000070,2023-09-30,Late Delivery,60760.42
ORD000081,2025-02-04,Quality Not as Expected,15897.48
ORD000083,2024-01-25,Changed Mind,35188.98
ORD000085,2024-12-04,Changed Mind,11915.89
ORD000086,2024-11-23,Quality Not as Expected,48335.54
ORD000090,2024-10-19,Quality Not as Expected,28420.75
ORD000100,2023-12-06,Changed Mind,17918.46
ORD000104,2025-04-13,Changed Mind,3275.51
ORD000136,2024-06-19,Late Delivery,47844.7
ORD000141,2024-12-03,Wrong Item Delivered,8487.69
ORD000163,2023-12-30,Better Price Found Elsewhere,17975.59
ORD000167,2023-03-05,Wrong Item Delivered,9183.21
ORD000168,2025-06-25,Product Damaged,23964.54
ORD000173,2024-10-28,Product Damaged,21096.19
ORD000178,2024-06-02,Product Damaged,18756.13
ORD000182,2024-04-08,Late Delivery,21943.22
ORD000185,2024-10-23,Better Price Found Elsewhere,23386.73
ORD000198,2023-09-24,Product Damaged,20803.18
ORD000203,2025-04-02,Product Damaged,10331.11
ORD000212,2023-07-08,Late Delivery,3723.21
ORD000222,2023-12-03,Size Issue,69111.19
ORD000231,2025-04-26,Late Delivery,10606.83
ORD000237,2025-04-27,Product Damaged,2978.57
ORD000243,2024-08-25,Wrong Item Delivered,20733.73
ORD000244,2023-08-08,Quality Not as Expected,22217.39
ORD000245,2023-08-17,Better Price Found Elsewhere,8321.27
ORD000251,2023-07-22,Size Issue,24249.54
ORD000254,2025-02-03,Quality Not as Expected,25782.26
ORD000258,2024-05-17,Better Price Found Elsewhere,22179.33
ORD000265,2023-10-28,Size Issue,26981.58
ORD000272,2024-12-24,Product Damaged,33894.08
ORD000276,2024-03-05,Size Issue,39473.43
ORD000277,2025-06-07,Quality Not as Expected,53999.42
ORD000279,2025-06-05,Quality Not as Expected,10401.59
ORD000288,2023-08-08,Changed Mind,39757.44
ORD000293,2024-03-31,Size Issue,18709.38
ORD000308,2025-07-24,Wrong Item Delivered,10757.18
ORD000315,2023-11-10,Wrong Item Delivered,20612.11
ORD000320,2024-12-06,Size Issue,2620.41
ORD000324,2024-12-05,Late Delivery,10661.58
ORD000325,2024-07-21,Product Damaged,23098.13
ORD000331,2025-03-02,Size Issue,63589.92
ORD000332,2023-02-19,Changed Mind,25181.42
ORD000337,2024-06-16,Quality Not as Expected,15013.86
ORD000340,2023-02-18,Product Damaged,54048.7
ORD000341,2023-10-15,Product Damaged,19894.52
ORD000345,2024-03-12,Changed Mind,7393.11
ORD000350,2023-05-22,Quality Not as Expected,23386.73
ORD000351,2025-03-05,Product Damaged,17838.99
ORD000361,2023-06-22,Wrong Item Delivered,39394.09
ORD000368,2025-05-07,Size Issue,13618.92
ORD000373,2024-03-07,Late Delivery,26999.71
ORD000383,2025-05-10,Better Price Found Elsewhere,37534.66
ORD000387,2025-04-03,Better Price Found Elsewhere,50362.84
ORD000396,2023-05-09,Wrong Item Delivered,40973.92
ORD000406,2024-07-21,Late Delivery,16111.84
ORD000415,2025-02-17,Quality Not as Expected,15060.77
ORD000419,2023-02-08,Wrong Item Delivered,41680.28
ORD000420,2025-03-20,Late Delivery,10331.11
ORD000424,2025-05-24,Better Price Found Elsewhere,10401.59
ORD000434,2024-03-11,Late Delivery,15897.48
ORD000437,2023-04-07,Changed Mind,35188.98
ORD000438,2023-10-19,Late Delivery,21824.59
ORD000446,2024-10-24,Better Price Found Elsewhere,45473.2
ORD000450,2024-10-22,Changed Mind,56959.71
ORD000451,2024-08-12,Late Delivery,25181.42
ORD000457,2024-10-21,Product Damaged,11576.08
ORD000462,2023-11-08,Wrong Item Delivered,18986.57
ORD000466,2023-05-14,Late Delivery,42192.38
ORD000467,2024-06-15,Size Issue,14786.22
ORD000476,2023-02-05,Wrong Item Delivered,18756.13
ORD000484,2024-06-20,Product Damaged,35356.11
ORD000486,2023-01-24,Quality Not as Expected,87972.45
ORD000496,2024-11-21,Changed Mind,25062.87
ORD000502,2024-10-05,Better Price Found Elsewhere,46773.46
ORD000505,2024-09-09,Changed Mind,23386.73
ORD000506,2024-04-08,Wrong Item Delivered,47141.48
ORD000517,2023-10-30,Quality Not as Expected,35951.17
ORD000518,2024-06-02,Changed Mind,17975.59
ORD000521,2025-01-26,Size Issue,28420.75
ORD000528,2024-08-21,Product Damaged,10184.93
ORD000535,2024-10-31,Late Delivery,18767.33
ORD000540,2023-08-21,Product Damaged,12937.97
ORD000545,2023-04-18,Better Price Found Elsewhere,16734.19
ORD000547,2025-01-06,Product Damaged,48790.88
ORD000551,2024-04-01,Changed Mind,37534.66
ORD000556,2024-05-15,Late Delivery,12543.04
ORD000560,2025-02-18,Wrong Item Delivered,20486.96
ORD000575,2024-05-08,Wrong Item Delivered,49760.95
ORD000577,2023-10-24,Late Delivery,21514.36
ORD000591,2024-05-04,Size Issue,25561.49
ORD000604,2024-03-31,Quality Not as Expected,19362.92
ORD000607,2023-03-06,Size Issue,57120.63
ORD000609,2023-06-20,Changed Mind,21827.5
ORD000628,2024-10-19,Product Damaged,51358.82
ORD000632,2023-08-02,Quality Not as Expected,22217.39
ORD000639,2025-01-19,Changed Mind,7921.98
ORD000640,2025-04-13,Late Delivery,41680.28
ORD000642,2023-02-06,Product Damaged,20840.14
ORD000643,2024-03-24,Wrong Item Delivered,15060.77
ORD000645,2024-03-15,Wrong Item Delivered,62520.42
ORD000650,2023-04-20,Quality Not as Expected,30380.21
ORD000651,2025-02-14,Wrong Item Delivered,62094.81
ORD000667,2024-02-27,Late Delivery,10606.83
ORD000670,2023-08-14,Size Issue,24514.06
ORD000671,2024-09-23,Late Delivery,51564.52
ORD000688,2024-09-24,Quality Not as Expected,46773.46
ORD000689,2023-04-01,Product Damaged,20840.14
ORD000691,2025-04-29,Late Delivery,26981.58
ORD000696,2023-06-03,Better Price Found Elsewhere,31794.96
